발전소명,발전원,연료,형식,발전회사,소재지,용량_MW,준공,상태,대수,단위용량,보일러제작사,터빈제작사,발전기제작사,정격전압,용도별,회원,시장,급전
분당#2 ST,복합화력,LNG,복합,남동발전㈜,경기 성남시 분당동,115,1997.3,운영중,1,115 MW,ABB-한중,ABB,ABB,13.8kV,사업용,정회원,시장,중앙
별내열병합,집단에너지,LNG,열병합,별내에너지,경기 남양주시 별내동,115,2013.7,운영중,3,37 MW,-,Siemens,ABB,13.8kV,집단,정회원,시장,중앙
수완에너지,집단에너지,LNG,열병합,수완에너지㈜,광주 광산구 수완동,115,"2010.4, 2013.3",운영중,3,18 MW,-,Siemens,ABB,13.8kV,집단,정회원,시장,중앙
"제주GT#1,2",내연력,경유,내연,한국전력,제주 제주시 삼양동,110,1977.12,운영중,2,55 MW,-,UTI,BRUSH,-,사업용,비회원,시장외,비중앙
화천,수력,수력,수력,한수원,강원 화천군 간동면(한강수계 북한강 파로호),108,"1944.10, 1957.11, 1968.6",운영중,4,27 MW,-,Hitachi,Hitachi,11kV,사업용,정회원,시장,중앙
아산배방열병합,집단에너지,LNG,열병합,토지주택공사,충남 아산시 배방읍,101,"2011.1, 2014.10",운영중,3,15 MW,한국BNTC,Siemens,ABB,13.8kV,집단,정회원,시장,중앙
울산#1 ST,복합화력,LNG,복합,동서발전㈜,울산 남구 남화동,100,"1979.1, 1987",운영중,1,50 MW,삼성중공업,Toshiba,Toshiba,21kV,사업용,정회원,시장,중앙
일산#2 ST,복합화력,LNG,복합,동서발전㈜,경기 고양시 백석동,100,1996.3,운영중,1,100 MW,MHI,WH,MHI,13.8kV,사업용,정회원,시장,중앙
남제주#2,기력,바이오중유,신재생,남부발전㈜,제주 서귀포시 안덕면,100,2007.3,운영중,1,100 MW,두산중공업,Mitsubish,Mitsubish,13.8kV,사업용,정회원,시장,중앙
남제주#1,기력,바이오중유,신재생,남부발전㈜,제주 서귀포시 안덕면,100,2006.9,운영중,1,100 MW,두산중공업,Mitsubish,Mitsubish,13.8kV,사업용,정회원,시장,중앙
합천,수력,수력,수력,수자원공사,경남 합천군 용주면(낙동강수계 황강 합천호),100,1989.3,운영중,2,50 MW,-,Fuji,Fuji,13.2kV,사업용,정회원,시장,중앙
남제주복합 GT,복합화력,LNG,복합,남부발전㈜,제주 서귀포시 안덕면,97,2020.11,운영중,2,48 MW,-,-,-,-,사업용,정회원,시장,중앙
구미열병합,집단에너지,유연탄,열병합,㈜GS E&R,경북 구미시 공단 2동,97,1991.11,운영중,1,97 MW,삼성중공업,ABB,ABB,-,집단,정회원,시장,비중앙
대산 ST,복합화력,LNG,복합,씨지앤대산전력㈜,충남 서산시 대산읍,91,1998.3,운영중,1,91 MW,현대중공업,현대중공업(ST),현대중공업,13kV,사업용,정회원,시장,중앙
대청,수력,수력,수력,수자원공사,충북 청원군 문의면(금강본류 대청호),90,1980.11,운영중,2,45 MW,-,Toshiba,Toshiba,13.2kV,사업용,정회원,시장,중앙
안동,수력,수력,수력,수자원공사,경북 안동시 성곡동(낙동강본류 안동호),90,1976.10,운영중,2,45 MW,-,Deriaz,Fuji,11kV,사업용,정회원,시장,중앙
대전열병합,집단에너지,중유,열병합,대전열병합발전㈜,대전 대덕구 신일동,88,1997.7,운영중,1,88 MW,현대중공업,ABB,ABB,13.8kV,집단,정회원,시장,중앙
강릉,수력,수력,수력,한수원,강원 강릉시 성산면(남한강지류 송천 도암호),82,"1990.12, 1991.1",운영중,2,41 MW,-,Fuji,한중,-,사업용,정회원,시장,중앙
