id,type,owner,plant_name,unit_number,location,capacity_mw,status,operation_start,closure_planned,note,latitude,longitude,geocoded
complex_70,복합발전,포천민자발전(주),포천천연C/C,1.0,경기 포천시 신북면 청신로,874.0,운영,2017-03-17 00:00:00,-,,37.4138,127.5183,False
complex_71,복합발전,SK 하이닉스,청주SEC C/C,1.0,충청북도 청주시 흥덕구 외북동,582.0,운영,2024-02-02 00:00:00,-,자가용,,,False
complex_72,복합발전,SK 하이닉스,이천SEC C/C,1.0,경기도 이천시 부발읍 가좌리,580.0,운영,2022-07-29 00:00:00,-,자가용,37.4138,127.5183,False
complex_73,복합발전,고려아연 온산제련소,고려아연C/C,1.0,울산광역시 울주군 온산읍 이진로,273.0,운영,2021-04-29 00:00:00,-,자가용,35.5384,129.3114,False
complex_74,복합발전,한국동서발전㈜,음성천연가스,1.0,충북 음성군 음성읍 읍내리,561.0,건설,-,-,,36.8,127.7,False
complex_75,복합발전,한국동서발전㈜,음성천연가스,2.0,충북 음성군 음성읍 읍내리,561.0,건설,,,,36.8,127.7,False
complex_76,복합발전,한국서부발전㈜,구미천연가스,1.0,경북 구미시 해평면 괴곡리,501.0,건설,-,-,태안화력 1호기 대체,36.4919,128.8889,False
complex_77,복합발전,한국서부발전㈜,공주천연가스,1.0,충남 공주시 이인면 만수리,500.0,건설,-,-,태안화력 3호기 대체,36.5184,126.8,False
complex_78,복합발전,한국남동발전㈜,고성천연가스,1.0,경남 고성군 하이면 덕호리,1120.0,건설,-,-,"삼천포화력 3, 4호기 대체",34.9731,128.3222,True
complex_79,복합발전,한국남부발전㈜,안동복합#2,1.0,경북 안동시 풍산읍 산업단지1길,500.0,건설,-,-,하동화력 1호기 대체,36.4919,128.8889,False
complex_80,복합발전,한국중부발전㈜,보령신복합#1,1.0,충남 보령시 주교면 송도길,500.0,건설,-,-,,36.5184,126.8,False
complex_81,복합발전,씨지앤대산전력,씨지앤대산 복합,1.0,충남 서산시 독곶1로,512.0,건설,-,-,,36.5184,126.8,False
complex_82,복합발전,"↑ 산업부 국회 제출 자료
↓ 전력수급기본계획 (10~11차)",,,,,,,,,,,False
complex_83,복합발전,남동발전,미정,,,,계획,,,,,,False
complex_84,복합발전,남동발전,미정,,,,계획,,,,,,False
complex_85,복합발전,남동발전,미정,,,,계획,,,,,,False
complex_86,복합발전,남동발전,미정,,,,계획,,,,,,False
complex_87,복합발전,남부발전,하동복합,1.0,,1000.0,계획,,,,,,False
complex_88,복합발전,남부발전,하동복합,1.0,,,계획,,,,,,False
complex_89,복합발전,남부발전,미정,,,,계획,,,,,,False
complex_90,복합발전,남부발전,용인반도체국가산단,3.0,,500.0,계획,,,,,,False
complex_91,복합발전,남부발전,용인반도체국가산단,4.0,,500.0,계획,,,,,,False
complex_92,복합발전,동서발전,신호남복합,1.0,,500.0,계획,,,,,,False
complex_93,복합발전,동서발전,용인반도체국가산단,5.0,,500.0,계획,,,,,,False
complex_94,복합발전,동서발전,용인반도체국가산단,5.0,,500.0,계획,,,,,,False
complex_95,복합발전,동서발전,미정,,,,계획,,,,,,False
complex_96,복합발전,동서발전,미정,,,,계획,,,,,,False
complex_97,복합발전,동서발전,동해복합,,,400.0,계획,,,,,,False
complex_98,복합발전,서부발전,여수천연가스,1.0,,500.0,계획,,,,,,False
complex_99,복합발전,서부발전,미정,,,,계획,,,,,,False
complex_100,복합발전,서부발전,용인반도체국가산단,5.0,,500.0,계획,,,,,,False
complex_101,복합발전,서부발전,용인반도체국가산단,6.0,,500.0,계획,,,,,,False
complex_102,복합발전,중부발전,보령천연가스,1.0,,,계획,,,,,,False
complex_103,복합발전,중부발전,함안천연가스,1.0,,500.0,계획,,,,,,False
cogen_1,열병합발전,서울에너지공사 노원,서울에너지공사 노원,2.0,서울시 노원구 덕릉로70길 99(상계동 772),37.0,운영,94년 12월,,,37.5665,126.978,False
cogen_2,열병합발전,서울에너지공사 목동,서울에너지공사 목동,2.0,서울시 양천구 목동서로 20(목동 900),24.2,운영,14년 02월,,,37.5665,126.978,False
cogen_3,열병합발전,한국지역난방공사 일원/가락한라,한국지역난방공사 일원/가락한라,3.0,서울특별시 강남구 양재대로 781,19.53,운영,95년 03월,,,37.5665,126.978,False
